Rank	Full.Journal.Title	Issn	Total.Cites	Journal.Impact.Factor	5-Year.Impact.Factor	Eigenfactor.Score
1	"CA-A CANCER JOURNAL FOR CLINICIANS"	0007-9235	"Not Available"	144.800	131.810	0.062730
10	"NATURE REVIEWS CANCER"	1474-175X	"Not Available"	37.400	44.335	0.100090
100	"Light-Science & Applications"	2047-7538	"Not Available"	14.603	14.621	0.004480
1000	"ASN Neuro"	1759-0914	557	4.017	4.137	0.002890
10009	"LOGIC JOURNAL OF THE IGPL"	1367-0751	259	0.461	0.490	0.001070
10009	"OPTICA APPLICATA"	0078-5466	418	0.461	0.496	0.000900
10009	"SPE DRILLING & COMPLETION"	1064-6671	341	0.461	0.476	0.000960
1001	"Cardiovascular Diabetology"	1475-2840	"Not Available"	4.015	3.659	0.008060
10012	"BRITISH JOURNAL FOR THE HISTORY OF SCIENCE"	0007-0874	287	0.460	0.450	0.000800
10012	"Journal of Natural Fibers"	1544-0478	105	0.460	0.492	0.000210
10012	"Journal of Social Work"	1468-0173	258	0.460	1.047	0.000720
10012	"MONTHLY REVIEW-AN INDEPENDENT SOCIALIST MAGAZINE"	0027-0520	344	0.460	0.496	0.001180
10012	"PROBABILITY IN THE ENGINEERING AND INFORMATIONAL SCIENCES"	0269-9648	398	0.460	0.565	0.001030
10012	"Sexualities"	1363-4607	540	0.460	0.768	0.001420
10018	"INTERNATIONAL JOURNAL OF ELECTRONICS"	0020-7217	922	0.459	0.463	0.001050
10018	"International Journal of Cultural Studies"	1367-8779	311	0.459	0.672	0.001160
10018	"Revista Mexicana de Biodiversidad"	1870-3453	520	0.459	0.583	0.001440
1002	"EUROPEAN RADIOLOGY"	0938-7994	"Not Available"	4.014	3.735	0.033910
1002	"JOURNAL OF CELLULAR AND MOLECULAR MEDICINE"	1582-4934	"Not Available"	4.014	4.199	0.023370
10021	"British Journal of Music Education"	0265-0517	205	0.458	0.673	0.000340
10021	"Translator"	1355-6509	139	0.458	0.352	0.000220
10023	"APPLICABLE ALGEBRA IN ENGINEERING COMMUNICATION AND COMPUTING"	0938-1279	305	0.457	0.838	0.001280
10023	"BIOTECHNOLOGIE AGRONOMIE SOCIETE ET ENVIRONNEMENT"	1370-6233	345	0.457	0.692	0.000900
10023	"ESTUDIOS GEOLOGICOS-MADRID"	0367-0449	313	0.457	0.795	0.000490
10023	"European Journal of International Management"	1751-6757	120	0.457	0.568	0.000460
10023	"JOURNAL OF ANTHROPOLOGICAL RESEARCH"	0091-7710	596	0.457	0.614	0.000470
10023	"Journal of Public Economic Theory"	1097-3923	325	0.457	0.587	0.001960
10023	"Journal of Systems Science & Complexity"	1009-6124	402	0.457	0.676	0.001690
10023	"Language Matters"	1022-8195	43	0.457	0.333	0.000270
10031	"Compare-A Journal of Comparative and International Education"	0305-7925	293	0.456	"Not Available"	0.001090
10031	"MAIN GROUP CHEMISTRY"	1024-1221	135	0.456	0.430	0.000160
10031	"Therapeutic Innovation & Regulatory Science"	2168-4790	56	0.456	0.456	0.000160
10034	"ARCHIVE FOR HISTORY OF EXACT SCIENCES"	0003-9519	237	0.455	0.528	0.000390
10034	"Ethics & Global Politics"	1654-4951	51	0.455	0.557	0.000440
10034	"Gesunde Pflanzen"	0367-4223	113	0.455	0.439	0.000110
10034	"HIGH TEMPERATURES-HIGH PRESSURES"	0018-1544	496	0.455	"Not Available"	0.000290
10034	"Journal of Hospitality Leisure Sport & Tourism Education"	1473-8376	97	0.455	0.500	0.000160
10034	"Journal of Organizational and End User Computing"	1546-2234	128	0.455	"Not Available"	0.000200
10034	"Oral Radiology"	0911-6028	97	0.455	0.475	0.000290
10034	"Proceedings of the Estonian Academy of Sciences"	1736-6046	418	0.455	0.494	0.000440
1004	"COLUMBIA LAW REVIEW"	0010-1958	"Not Available"	4.012	3.621	0.004880
10044	"Revista Portuguesa de Cardiologia"	0870-2551	532	0.454	"Not Available"	0.001030
10045	"BRITISH JOURNAL OF GUIDANCE & COUNSELLING"	0306-9885	396	0.453	0.695	0.000530
10045	"COLLOQUIUM MATHEMATICUM"	0010-1354	876	0.453	0.409	0.002710
10045	"Ethics & International Affairs"	0892-6794	254	0.453	"Not Available"	0.001010
10045	"Journal of Addictions Nursing"	1088-4602	119	0.453	0.595	0.000280
1005	"JOURNAL OF CLINICAL PERIODONTOLOGY"	0303-6979	"Not Available"	4.010	4.307	0.013340
1005	"JOURNAL OF PAIN"	1526-5900	"Not Available"	4.010	4.577	0.018970
10050	"AUSTRALIAN AND NEW ZEALAND JOURNAL OF CRIMINOLOGY"	0004-8658	315	0.452	1.081	0.000970
10050	"Applied and Computational Mathematics"	1683-3511	119	0.452	0.592	0.000460
10050	"ENVIRONMENTAL ETHICS"	0163-4275	284	0.452	0.479	0.000220
10050	"Georgian Mathematical Journal"	1072-947X	283	0.452	0.359	0.000820
10050	"JOURNAL OF THE HISTORY OF BIOLOGY"	0022-5010	371	0.452	0.670	0.000640
10050	"JOURNAL OF THE HISTORY OF THE BEHAVIORAL SCIENCES"	0022-5061	251	0.452	0.558	0.000510
10050	"LIBRARY RESOURCES & TECHNICAL SERVICES"	0024-2527	114	0.452	0.523	0.000140
10050	"PHARMACEUTICAL CHEMISTRY JOURNAL"	0091-150X	"Not Available"	0.452	0.457	0.001080
10050	"Progress in Rubber Plastics and Recycling Technology"	1477-7606	40	0.452	0.301	0.000070
