Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Azizi-Sultan A.-S.","Pseudo-automatic beam orientations in multi-criteria intensity-modulated radiation therapy",2016,"Journal of Combinatorial Optimization","31","4",,"1746","1759",,,10.1007/s10878-015-9867-9,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925609934&partnerID=40&md5=0672078ea710240a73b235fc91573a41",Article,Scopus,2-s2.0-84925609934
"Zhu F., Zhong P.-A., Wu Y.-N., Sun Y., Chen J., Jia B.","SMAA-based stochastic multi-criteria decision making for reservoir flood control operation",2016,"Stochastic Environmental Research and Risk Assessment",,,,"1","13",,,10.1007/s00477-016-1253-3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964687652&partnerID=40&md5=3aaee6118e69a1b7a28af4151b2f3e15",Article in Press,Scopus,2-s2.0-84964687652
"Díaz J.T., Cubillos J.D.V., Bolivar H.","Application for decision-making in transportation logistics function: Supply chain colombian green coffee",2016,"Proceedings - 2nd International Symposium on Stochastic Models in Reliability Engineering, Life Science, and Operations Management, SMRLO 2016",,, 7433175,"575","582",,,10.1109/SMRLO.2016.100,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964898601&partnerID=40&md5=d3d1e2aaf0d86b57f33c580745737782",Conference Paper,Scopus,2-s2.0-84964898601
"Azevedo C.R.B., Von Zuben F.","Learning to Anticipate Flexible Choices in Multiple Criteria Decision-Making under Uncertainty",2016,"IEEE Transactions on Cybernetics","46","3", 7076588,"778","791",,,10.1109/TCYB.2015.2415732,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926141893&partnerID=40&md5=a11f99098543720cda77b64eefae8272",Article,Scopus,2-s2.0-84926141893
"Rahman M.M., Paatero J.V., Lahdelma R., Wahid M.A.","Multicriteria-based decision aiding technique for assessing energy policy elements-demonstration to a case in Bangladesh",2016,"Applied Energy","164",,,"237","244",,2,10.1016/j.apenergy.2015.11.091,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951148369&partnerID=40&md5=46780714b45746fa33d6eea82413fed3",Article,Scopus,2-s2.0-84951148369
"Gomez J., Rios Insua D., Alfaro C.","A participatory budget model under uncertainty",2016,"European Journal of Operational Research","249","1",,"351","358",,,10.1016/j.ejor.2015.09.024,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948676825&partnerID=40&md5=e8458f09e48b82cb29686dff183d9275",Article,Scopus,2-s2.0-84948676825
"Segal E.M., Rhode-Barbarigos L., Coelho R.D.F., Adriaenssens S.","An automated robust design methodology for suspended structures",2015,"Journal of the International Association for Shell and Spatial Structures","56","4",,"221","229",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953256276&partnerID=40&md5=a8b39f936e61c9bfc10de227d912190d",Conference Paper,Scopus,2-s2.0-84953256276
"García-Morales R.M., Baquerizo A., Losada M.Á.","Port management and multiple-criteria decision making under uncertainty",2015,"Ocean Engineering","104",,,"31","39",,,10.1016/j.oceaneng.2015.05.007,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930194654&partnerID=40&md5=a6c7bf029ac3d083a6a0577d39527106",Article,Scopus,2-s2.0-84930194654
"Engau A.","Definition and Characterization of Geoffrion Proper Efficiency for Real Vector Optimization with Infinitely Many Criteria",2015,"Journal of Optimization Theory and Applications","165","2",,"439","457",,,10.1007/s10957-014-0608-5,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939897438&partnerID=40&md5=17132c4276f73e6aa319ed108105b55d",Article,Scopus,2-s2.0-84939897438
"Kadziński M., Labijak A., Napieraj M.","Integrated framework for robustness analysis using ratio-based efficiency model with application to evaluation of Polish airports",2016,"Omega (United Kingdom)",,,,"","",,,10.1016/j.omega.2016.03.003,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961970584&partnerID=40&md5=c67df2052d0c5fe980b6dccfea7230fd",Article in Press,Scopus,2-s2.0-84961970584
"Kontu K., Rinne S., Olkkonen V., Lahdelma R., Salminen P.","Multicriteria evaluation of heating choices for a new sustainable residential area",2015,"Energy and Buildings","93",,,"169","179",,2,10.1016/j.enbuild.2015.02.003,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925858563&partnerID=40&md5=4910a85d783a44637ce7355bd430e9b1",Article,Scopus,2-s2.0-84925858563
"Garcia-Bernabeu A., Benito A., Bravo M., Pla-Santamaria D.","Photovoltaic power plants: a multicriteria approach to investment decisions and a case study in western Spain",2015,"Annals of Operations Research",,,,"","",13,,10.1007/s10479-015-1836-2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925596868&partnerID=40&md5=2dc5a62b019e62c8629e58e9597837f9",Article in Press,Scopus,2-s2.0-84925596868
"Durbach I.N., Calder J.M.","Modelling uncertainty in stochastic multicriteria acceptability analysis",2016,"Omega (United Kingdom)",,,,"","",,,10.1016/j.omega.2015.10.015,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964990251&partnerID=40&md5=3b6e5a1467d9848aed54ef23d1a2df34",Article in Press,Scopus,2-s2.0-84964990251
"Wang H., Jiao W., Lahdelma R., Zhu C., Zou P.","Stochastic multicriteria acceptability analysis for evaluation of combined heat and power units",2015,"Energies","8","1",,"59","78",,3,10.3390/en8010059,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921713907&partnerID=40&md5=34798fe4e1a0088007a2b36657d1763d",Article,Scopus,2-s2.0-84921713907
"Hu X., Cheng J., Luo H.","Task assignment for multi-UAV under severe uncertainty by using stochastic multicriteria acceptability analysis",2015,"Mathematical Problems in Engineering","2015",, 249825,"","",,,10.1155/2015/249825,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940842876&partnerID=40&md5=f155f6bb9bb23d2e0f5612ad39f70354",Article,Scopus,2-s2.0-84940842876
"Wu P., Wu Y., Xu B.","Multiclass and multicriteria stochastic traffic network equilibrium model based on ATIS",2015,"Shenzhen Daxue Xuebao (Ligong Ban)/Journal of Shenzhen University Science and Engineering","32","2",,"213","220",,,10.3724/SP.J.1249.2015.02213,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926674391&partnerID=40&md5=1d926c1d06a67d174ebe860070e1a9dc",Article,Scopus,2-s2.0-84926674391
"Bowen G., Ciyun L.","A personalized urban multicriteria shortest path stochastic optimization algorithm",2015,"Mathematical Problems in Engineering","2015",, 987358,"","",,,10.1155/2015/987358,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84950126670&partnerID=40&md5=35324629ca3bccdf4cc794e9a50a7a52",Article,Scopus,2-s2.0-84950126670
"De Graaf G., Postmus D., Buskens E.","Using Multicriteria Decision Analysis to Support Research Priority Setting in Biomedical Translational Research Projects",2015,"BioMed Research International","2015",, 191809,"","",,,10.1155/2015/191809,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944263690&partnerID=40&md5=fff9bf697c1f5fa1d2237c66cc14f91e",Article,Scopus,2-s2.0-84944263690
"Xia M.","Stochastic Multicriteria Acceptability Analysis Based on Choquet Integral",2015,"Journal of Applied Mathematics","2015",, 315340,"","",,,10.1155/2015/315340,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929649711&partnerID=40&md5=4ffa6632013dd3fdd4c4ea482f300ef2",Article,Scopus,2-s2.0-84929649711
"Ploskas N., Stiakakis E., Fouliras P.","Assessing Computer Network Efficiency Using Data Envelopment Analysis and Multicriteria Decision Analysis Techniques",2015,"Journal of Multi-Criteria Decision Analysis","22","5-6",,"260","278",,,10.1002/mcda.1533,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946572225&partnerID=40&md5=c776666ce7f0c1df9b390c932590e752",Article,Scopus,2-s2.0-84946572225
"Linhoss A., JeffBallweber J.D.","Incorporating uncertainty and decision analysis into a water-sustainability Index",2015,"Journal of Water Resources Planning and Management","141","12", A4015007,"","",,1,10.1061/(ASCE)WR.1943-5452.0000554,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947738568&partnerID=40&md5=2669104293ce4f6f1d7d2ae52f5f8a5b",Article,Scopus,2-s2.0-84947738568
"Oujebbour F.-Z., Habbal A., Ellaia R.","Optimization of stamping process parameters to predict and reduce springback and failure criterion",2015,"Structural and Multidisciplinary Optimization","51","2",,"495","514",,,10.1007/s00158-014-1138-3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924224114&partnerID=40&md5=216da0328bd6ac98351db9200fc9ad7e",Article,Scopus,2-s2.0-84924224114
